,brand,model,screen_size,color,harddisk,cpu,ram,OS,cpu_speed,rating,price
3861,Dell,Precision 7770 Laptop,17.3 Inches,Silver,1000 GB,Core i9,16 GB,Windows 11 Pro,,,"$2,410.99 "
3862,Lenovo,Yoga 7,15.6 Inches,Dark Moss,4 TB,Core i7 Family,12 GB,Windows 10 Pro,,,"$1,409.00 "
3863,Dell,Inspiron 15 3525,15.6 Inches,Platinum Silver,2 TB,AMD Ryzen 7,64 GB,Windows 10 Pro,,,"$1,469.00 "
3864,Dell,Precision 7780 Laptop,17 Inches,Silver,1000 GB,Core i7,32 GB,Windows 11 Home,,,"$2,815.30 "
3865,Dell,Latitude 5440 Laptop,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Home,,,"$1,552.30 "
3866,Dell,Latitude 3520 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 11 Pro,,,$953.82 
3867,Dell,Latitude 3520 Laptop,15.6 Inches,Black,4000 GB,Core i5,16 GB,Windows 10 Home,,,"$1,185.79 "
3868,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,512 GB,Core i5,64 GB,Windows 10 Home,,,$776.54 
3869,Dell,XPS 9510 Laptop,15.6 Inches,Platinum Silver,512 GB,Core i5,16 GB,Windows 10 Home,,,"$1,666.65 "
3870,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,2000 GB,Core i5,16 GB,Windows 10 Home,,,$767.11 
3871,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
3872,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
3873,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
3874,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,1000 GB,Core i5,8 GB,Windows 10 Home,,,$690.58 
3875,Dell,Latitude 3520 Laptop,15.6 Inches,Black,4000 GB,Core i7,16 GB,Windows 11 Home,,,"$1,950.99 "
3876,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,1000 GB,Core i5,16 GB,Windows 10 Home,,,$619.99 
3877,acer,Nitro 17,17.3 Inches,Obsidian Black,4 TB,Ryzen 7,64 GB,Windows 10 Pro,,,"$2,049.00 "
3878,Dell,Latitude 7420 Laptop,14 Inches,Black,2000 GB,Core i5,16 GB,Windows 10 Home,,,$886.99 
3879,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 10 Home,,,$699.99 
3880,Dell,Latitude 3520 Laptop,15.6 Inches,Black,4000 GB,Core i5,64 GB,Windows 11 Home,,,"$1,318.68 "
3881,Dell,Latitude 7420 Laptop,14 Inches,,1000 GB,Core i5,16 GB,Windows 11 Home,,,"$1,267.99 "
3882,Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,4000 GB,Core i7,32 GB,Windows 11 Home,,,"$3,329.94 "
3883,Dell,Inspiron 3501 Laptop,15.6 Inches,Black,128 GB,Core i5,4 GB,Windows 11 Home,,,$608.33 
3884,Dell,Latitude 9420 Laptop,14 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Home,,,$708.99 
3885,Dell,Latitude 5420 Laptop,14 Inches,Black,1000 GB,Core i7,16 GB,Windows 11 Home,,,"$1,424.99 "
3886,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
3887,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
3888,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
3889,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
3890,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
3891,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
3892,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,500 GB,Core i5,8 GB,Windows 10 Home,,,$599.44 
3893,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,4000 GB,Core i5,32 GB,Windows 10 Home,,,$955.99 
3894,Dell,Latitude 7420 Laptop,14 Inches,Black,1000 GB,Core i5,16 GB,Windows 10 Home,,,"$1,155.99 "
3895,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,6000 GB,Core i5,16 GB,Windows 10 Home,,,"$1,670.99 "
3896,Dell,Latitude 5520 Laptop,15.6 Inches,Black,256 GB,Core i7,16 GB,Windows 10 Home,,,"$2,366.99 "
3897,Dell,Latitude 3520 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 11 Home,,,$953.82 
3898,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
3899,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
3900,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
3901,Dell,Latitude 5420 Laptop,14 Inches,Black,128 GB,Core i5,4 GB,Windows 11 Home,,,"$1,078.99 "
3902,Dell,Latitude 9520 Laptop,15 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Home,,,"$1,046.99 "
3903,Dell,Latitude 7320 Laptop,13.3 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Home,,,$683.99 
3904,Dell,Latitude 5420 Laptop,14 Inches,Black,512 GB,Core i5,32 GB,Windows 11 Home,,,"$1,125.99 "
3905,Dell,Latitude 7420 Laptop,14 Inches,,2000 GB,Core i5,,Windows 11 Home,,,"$1,328.99 "
3906,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,2000 GB,Core i5,16 GB,Windows 10 Home,,,$714.99 
3907,Dell,Precision 7770 Laptop,17.3 Inches,Silver,1000 GB,Core i5,32 GB,Windows 11 Pro,,,"$3,176.99 "
3908,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
3909,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
3910,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
3911,Dell,Precision 7560 Laptop,15.6 Inches,Silver,512 GB,Core i7,16 GB,Windows 11 Home,,,"$2,126.99 "
3912,Dell,Latitude 3520 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 11 Home,,,$953.82 
3913,Dell,Latitude 3520 Laptop,15.6 Inches,Black,512 GB,Core i7,8 GB,Windows 11 Home,,,"$1,584.99 "
3914,Dell,Vostro 3510 Laptop,15.6 Inches,Black,512 GB,Core i7,8 GB,Windows 11 Home,,,$921.99 
3915,Dell,Vostro 3510 Laptop,15.6 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Home,,,$719.99 
3916,Dell,XPS 9510 Laptop,15.6 Inches,Platinum Silver,512 GB,Core i7,64 GB,Windows 10 Home,,,"$2,877.06 "
3917,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,2000 GB,Core i5,64 GB,Windows 10 Home,,,$821.99 
3918,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 10 Home,,,$660.99 
3919,Dell,Alienware m18 Laptop,18 Inches,Black,1000 GB,Core i9,32 GB,Windows 11 Home,,,"$2,675.28 "
3920,Dell,Alienware m16 Laptop,16 Inches,Black,512 GB,Core i7,32 GB,Windows 11 Pro,,,"$1,989.85 "
3921,Dell,Alienware m18 Laptop,18 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,,,"$2,244.54 "
3922,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
3923,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
3924,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
3925,Dell,Latitude 5520 Laptop,15.6 Inches,Black,4000 GB,Core i7,32 GB,Windows 10 Home,,,"$2,109.99 "
3926,Dell,Latitude 3520 Laptop,15.6 Inches,Black,2000 GB,Core i7,32 GB,Windows 11 Home,,,"$1,761.99 "
3927,Dell,Latitude 5420 Laptop,14 Inches,Black,2000 GB,Core i5,16 GB,Windows 11 Home,,,"$1,283.99 "
3928,Dell,Vostro 3510 Laptop,15.6 Inches,Black,2000 GB,Core i5,32 GB,Windows 11 Home,,,$877.99 
3929,Dell,Latitude 5420 Laptop,14 Inches,Black,512 GB,Core i5,32 GB,Windows 10 Home,,,"$1,231.99 "
3930,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 10 Home,,,$647.99 
3931,DELL,Inspiron 16 5620,16 Inches,Platinum Silver,2 TB,Core i7 Family,16 GB,Windows 10 Home,,,"$1,479.00 "
3932,Dell,Latitude 7440 Laptop,14 Inches,Black,1000 GB,Core i7,16 GB,Windows 11 Home,,,"$1,305.17 "
3933,Dell,Inspiron 5620 Laptop,16 Inches,"Grey, Gray, Platinum Silver",256 GB,Core i5,12 GB,Windows 10 Home,,,$739.99 
3934,Dell,Latitude 5520 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 11 Home,,,$953.82 
3935,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
3936,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
3937,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
3938,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
3939,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
3940,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
3941,Dell,Latitude 5320 Laptop,13.3 Inches,Black,256 GB,Core i7,16 GB,Windows 10 Home,,,$821.99 
3942,Dell,Alienware x14 R2 Laptop,14 Inches,Silver,1000 GB,Core i7,32 GB,Windows 11 Home,,,"$2,033.26 "
3943,ASUS,TUF Gaming A17,17.3 Inches,Graphite Black,1 TB,Ryzen 5 4600H,24 GB,Windows 10 Pro,,,"$1,139.00 "
3944,LG,Gram 16 Pro,16 Inches,Black,8 TB,Core i7 Family,32 GB,Windows 10 Home,,,"$2,489.99 "
3945,Dell,Latitude 7440 Laptop,14 Inches,Black,1000 GB,Core i7,16 GB,Windows 11 Home,,,"$1,305.17 "
3946,Dell,Precision 7680 Laptop,16 Inches,Silver,1000 GB,Core i7,32 GB,Windows 11 Pro,,,"$2,400.99 "
3947,Dell,Alienware m15 R5 Ryzen Edition Laptop,15.6 Inches,Dark Side of the Moon,2000 GB,AMD Ryzen 7,32 GB,Windows 10 Home,,,"$2,255.92 "
3948,Dell,G15 5530 Laptop,15.6 Inches,Gray,1000 GB,Core i7,16 GB,Windows 11 Pro,,,"$1,409.99 "
3949,Dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,1000 GB,Core i9,64 GB,Windows 11 Home,,,"$3,196.99 "
3950,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
3951,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
3952,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
3953,Dell,Latitude 3420 Laptop,14 Inches,Black,128 GB,Core i7,4 GB,Windows 11 Home,,,"$2,211.99 "
3954,Dell,Latitude 3520 Laptop,15.6 Inches,Black,512 GB,Core i5,64 GB,Windows 10 Home,,,"$1,059.67 "
3955,Dell,Vostro 3510 Laptop,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Home,,,$942.99 
3956,Dell,Latitude 5520 Laptop,15.6 Inches,Black,256 GB,Core i7,64 GB,Windows 11 Home,,,"$2,535.99 "
3957,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,4000 GB,Core i5,32 GB,Windows 10 Home,,,$956.49 
3958,Dell,Inspiron 7420 2-in-1,14 Inches,"Grey, Gray, Platinum Silver",128 GB,Core i7,4 GB,Windows 11 Home,,,$777.02 
3959,Dell,Latitude 7420 Laptop,14 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Home,,,"$1,014.99 "
3960,Dell,Latitude 5420 Laptop,14 Inches,Black,256 GB,Core i7,32 GB,Windows 10 Home,,,"$1,015.99 "
3961,Dell,Latitude 5520 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 11 Home,,,$953.82 
3962,Dell,Inspiron 3501 Laptop,15.6 Inches,Black,2000 GB,Core i3,16 GB,Windows 10 Home,,,$635.67 
3963,Dell,Latitude 7520 Laptop,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Home,,,"$1,077.99 "
3964,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
3965,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
3966,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
3967,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
3968,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
3969,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
3970,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Home,,,$586.96 
3971,Dell,XPS 9510 Laptop,15.6 Inches,Platinum Silver,512 GB,Core i7,16 GB,Windows 10 Home,,,"$2,810.99 "
3972,Dell,Latitude 7420 Laptop,14 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Home,,,"$1,056.99 "
3973,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,4000 GB,Core i5,64 GB,Windows 10 Home,,,"$1,037.99 "
3974,HP,15-DY100,15.6 Inches,Natural Silver,2 TB,Core i3-1005G1,48 GB,Windows 11 Home,,,$839.00 
3975,HP,15-DY200,15.6 Inches,Natural Silver,2 TB,Core i7 Family,48 GB,Windows 10 Pro,,,"$1,239.00 "
3976,Dell,Latitude 5520 Laptop,15.6 Inches,Black,2000 GB,Core i5,32 GB,Windows 11 Home,,,"$1,865.99 "
3977,Dell,Precision 3580 Laptop,15.6 Inches,Silver,256 GB,Core i5,16 GB,Windows 11 Pro,,,"$1,660.99 "
3978,Dell,Precision 3581 Laptop,15.6 Inches,Silver,1000 GB,Core i7,64 GB,Windows 11 Pro,,,"$2,216.99 "
3979,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
3980,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
3981,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
3982,Dell,Precision 5570 Laptop,15.6 Inches,Silver,256 GB,Core i5,8 GB,Windows 10 Pro,,,"$2,007.99 "
3983,Dell,Inspiron 5630 Laptop,16 Inches,"Gray, Platinum Silver",1000 GB,Core i7,16 GB,Windows 11 Home,,,"$1,043.99 "
3984,Dell,Inspiron 3501 Laptop,15.6 Inches,Black,128 GB,Core i3,8 GB,Windows 10 Home,,,$558.99 
3985,Dell,Inspiron 7420 2-in-1,14 Inches,"Grey, Gray, Platinum Silver",256 GB,Core i7,16 GB,Windows 11 Home,,,$788.28 
3986,Dell,Inspiron 15,15.6 Inches,Carbon Black,1 TB,Ryzen 7,16 GB,Windows 11 Home,,,$809.99 
3987,Dell,Latitude 3520 Laptop,15.6 Inches,Black,1000 GB,Core i5,16 GB,Windows 10 Home,,,$953.82 
3988,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,500 GB,Core i5,32 GB,Windows 10 Home,,,$645.99 
3989,Dell,Latitude 7420 Laptop,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Home,,,$801.99 
3990,Dell,Inspiron 7415 2-in-1,14 Inches,Grey,256 GB,AMD Ryzen 7,12 GB,Windows 11 Home,,,$602.47 
3991,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,2000 GB,Core i5,8 GB,Windows 10 Home,,,$693.99 
3992,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
3993,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
3994,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
3995,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
3996,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
3997,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
3998,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 10 Home,,,$599.99 
3999,Dell,Latitude 3520 Laptop,15.6 Inches,,512 GB,Core i7,,Windows 10 Home,,,"$1,667.99 "
4000,Dell,Latitude 5420 Laptop,14 Inches,Black,512 GB,Core i7,8 GB,Windows 10 Home,,,$807.99 
4001,Dell,Latitude 5420 Laptop,14 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Home,,,$765.75 
4002,MSI,GF63 Thin 10SCXR,15.6 Inches,Black,2 TB,Core i5 Family,64 GB,Windows 10 Home,,,"$1,029.99 "
4003,Dell,Precision 7560 Laptop,15.6 Inches,Silver,256 GB,Core i7,32 GB,Windows 11 Pro,,,"$2,102.99 "
4004,Dell,Latitude 5520 Laptop,15.6 Inches,Black,128 GB,Core i7,16 GB,Windows 11 Pro,,,"$1,690.99 "
4005,Dell,Vostro 3510 Laptop,15.6 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Pro,,,$713.99 
4006,Dell,Inspiron 5620 Laptop,16 Inches,"Grey, Gray, Platinum Silver",256 GB,Core i5,12 GB,Windows 10 Home,,,$739.99 
4007,Dell,Vostro 3510 Laptop,15.6 Inches,Black,2000 GB,Core i5,32 GB,Windows 11 Pro,,,$877.99 
4008,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
4009,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
4010,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
4011,Dell,Latitude 5520 Laptop,15.6 Inches,Black,1000 GB,Core i5,8 GB,Windows 11 Pro,,,$931.30 
4012,Dell,Vostro 3510 Laptop,15.6 Inches,Black,512 GB,Core i5,12 GB,Windows 11 Pro,,,$732.99 
4013,Dell,Vostro 3510 Laptop,15.6 Inches,Black,128 GB,Core i3,8 GB,Windows 11 Pro,,,$691.99 
4014,Dell,Latitude 3520 Laptop,15.6 Inches,,1000 GB,Core i7,,Windows 11 Pro,,,"$1,626.99 "
4015,Dell,Latitude 5320 Laptop,13.3 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Pro,,,$739.99 
4016,Dell,Vostro 7620 Laptop,16 Inches,Black,4000 GB,Core i7,40 GB,Windows 11 Pro,,,"$1,512.99 "
4017,Dell,Latitude 5520 Laptop,15.6 Inches,Black,256 GB,Core i7,8 GB,Windows 11 Pro,,,"$2,337.99 "
4018,Lenovo,ThinkBook 15 G4,15.6 Inches,Mineral Grey,2 TB,Core i7 Family,16 GB,Windows 10 Pro,,,"$1,279.00 "
4019,Dell,Alienware m16 Laptop,16 Inches,Black,512 GB,Core i7,32 GB,Windows 11 Pro,,,"$1,989.85 "
4020,Dell,Latitude 3540 Laptop,15.6 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Pro,,,$864.99 
4021,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
4022,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
4023,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
4024,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
4025,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
4026,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
4027,MSI,Raider GE76 12UE,17.3 Inches,Titanium Blue-Black-Dark Blue-Black,1 TB,Intel Core i9,16 GB,Windows 10 Pro,,,"$1,999.00 "
4028,Dell,7520,15.6 Inches,Black,256 GB,Core i7,16 GB,Windows 10 Pro,,,$439.99 
4029,Dell,Latitude 7420 Laptop,14 Inches,,1000 GB,Core i7,,Windows 10 Home,,,"$1,528.99 "
4030,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,500 GB,Core i5,8 GB,Windows 10 Home,,,$604.99 
4031,Lenovo,ThinkPad E16 Gen 1,16 Inches,Graphite Black,1 TB,Core i7 Family,16 GB,Windows 11 Home,,,"$1,309.00 "
4032,acer,Aspire 3 A315,15.6 Inches,Pure Silver,512 GB,Core i5 Family,8 GB,Windows 10 Pro,,,$709.00 
4033,Dell,Latitude 3420 Laptop,14 Inches,Black,1000 GB,Core i7,64 GB,Windows 10 Home,,,"$1,158.77 "
4034,Dell,Latitude 5520 Laptop,15.6 Inches,Black,256 GB,Core i5,4 GB,Windows 11 Home,,,$844.58 
4035,Dell,G15 5530 Laptop,15.6 Inches,Gray,1000 GB,Core i7,16 GB,Windows 11 Home,,,"$1,366.99 "
4036,Dell,Latitude 5320 Laptop,13.3 Inches,,256 GB,Core i5,,Windows 11 Pro,,,$899.99 
4037,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
4038,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
4039,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
4040,Dell,Precision 7670 Laptop,16 Inches,Silver,2000 GB,Core i9,64 GB,Windows 11 Pro,,,"$2,738.99 "
4041,Dell,Latitude 5520 Laptop,15.6 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Home,,,"$1,683.99 "
4042,Dell,Latitude 5520 Laptop,15.6 Inches,Black,2000 GB,Core i7,64 GB,Windows 11 Home,,,"$2,675.99 "
4043,Dell,Latitude 5420 Laptop,14 Inches,Black,256 GB,Core i7,16 GB,Windows 10 Home,,,$764.99 
4044,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,4000 GB,Core i5,64 GB,Windows 10 Home,,,"$1,037.99 "
4045,Dell,Latitude 3520 Laptop,15.6 Inches,Black,8000 GB,Core i5,16 GB,Windows 10 Home,,,"$1,887.38 "
4046,Dell,Latitude 5520 Laptop,15.6 Inches,Black,1000 GB,Core i5,32 GB,Windows 10 Home,,,$992.10 
4047,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,2000 GB,Core i5,32 GB,Windows 10 Home,,,$742.99 
4048,Dell,Latitude 5520 Laptop,15.6 Inches,Black,1000 GB,Core i7,16 GB,Windows 10 Home,,,"$1,764.99 "
4049,HP,15-DY200,15.6 Inches,Natural Silver,512 GB,Core i7 Family,16 GB,Windows 11 Pro,,,$899.00 
4050,Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,512 GB,Core i9,16 GB,Windows 11 Pro,,,"$2,604.99 "
4051,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
4052,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
4053,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
4054,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
4055,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
4056,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
4057,Dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,2000 GB,Core i7,64 GB,Windows 11 Home,,,"$2,921.99 "
4058,Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i9,64 GB,Windows 11 Home,,,"$3,178.99 "
4059,Dell,Vostro 7620 Laptop,16 Inches,Black,2000 GB,Core i7,40 GB,Windows 10 Pro,,,"$1,365.99 "
4060,Dell,Inspiron 5630 Laptop,16 Inches,Gray,1000 GB,Core i7,16 GB,Windows 11 Pro,,,"$1,084.99 "
4061,Dell,Precision 5770 Laptop,17 Inches,Silver,512 GB,Core i7,64 GB,Windows 11 Pro,,,"$3,331.99 "
4062,Dell,Alienware m18 Laptop,18 Inches,Black,1000 GB,Core i9,64 GB,Windows 11 Home,,,"$3,002.99 "
4063,Dell,Latitude 3420 Laptop,14 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,,,$813.99 
4064,Dell,Latitude 7320 Laptop,13.3 Inches,,512 GB,Core i5,16 GB,Windows 10 Home,,,$807.99 
4065,Dell,Latitude 5520 Laptop,15.6 Inches,Black,1000 GB,Core i5,16 GB,Windows 11 Home,,,"$1,757.99 "
4066,Dell,Precision 3470 Laptop,14 Inches,Silver,256 GB,Core i7,16 GB,Windows 11 Pro,,,"$1,046.99 "
4067,Dell,Latitude 7440 2-in-1,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,,,"$2,401.99 "
4068,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
4069,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
4070,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
4071,Dell,Alienware m18 Laptop,18 Inches,Black,1000 GB,Core i9,32 GB,Windows 11 Pro,,,"$2,790.04 "
